Sequence ID,Predicted label,Actual_Code,Actual_Label
5S|ClassI|SINE|5,5S,,
Academ-2N1_LMi|ClassII|?|Acade,SubclassI,1.4.5,I
ATGP1LTR|ClassI|LTR|Gypsy,gypsy,,
Copia-2_Cfl-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_CP-I__2|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_CQ-LTR|ClassI|LTR|Copia,gypsy,1.1.1,Copia
Copia-2_DBp-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_Deu-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_DPer-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_DTa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_ECa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_ES-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_GA-LTR|ClassI|LTR|Copia,gypsy,1.1.1,Copia
ATGP3A_I|ClassI|LTR|Gypsy,gypsy,1.1.2,gypsy
Copia-2_HAE-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_LBS-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_LH-LTR|ClassI|LTR|Copia,Bel-Pao,1.1.1,Copia
Copia-2_Mad-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_MVPL-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_PGr-LTR|ClassI|LTR|Copia,gypsy,1.1.1,Copia
Copia-2_PPI-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_PR-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_PSo-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_PTc-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATGP3LTR|ClassI|LTR|Gypsy,Copia,,
Copia-2_RC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_SCH-LTR|ClassI|LTR|Copia,gypsy,1.1.1,Copia
Copia-2_SLL-I|ClassI|LTR|Copia,L1,1.1.1,Copia
Copia-2_SPDB-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_TA-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_TCa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-2_VA-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3-LTR_NV|ClassI|LTR|Copia,gypsy,1.1.1,Copia
Copia-30_ALY-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-30_BG-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATGP5I|ClassI|LTR|Gypsy,gypsy,,
Copia-30_CCri-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-30_ECa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-30_GM-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-30_Mad-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-30_PAb-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-30_PX-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-30_SB-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-30_TC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-31_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-31_BD-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATGP7LTR|ClassI|LTR|Gypsy,Copia,,
Copia-31_CCri-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-31_DPu-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-31_GM-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-31_LU-LTR|ClassI|LTR|Copia,Bel-Pao,1.1.1,Copia
Copia-31_PAb-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-31_Pru-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-31_SB-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-31_TC-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-32_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-32_BD-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATGP9LTR|ClassI|LTR|Gypsy,gypsy,,
Copia-32_CCri-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-32_ECa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-32_JC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-32_Mad-LTR__2|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-32_Pru-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-32_RC-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-32_TC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-33_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-33_BG-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-33_CCri-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATHAT7|ClassII|TIR|h,hAT,,
Copia-33_FV-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-33_JC-LTR|ClassI|LTR|Copia,gypsy,1.1.1,Copia
Copia-33_MLP-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-33_Pru-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-33_SB-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-33_TC-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-34_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-34_BD-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-34_CCri-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-34_ECa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATHATN2|ClassII|TIR|h,hAT,,
Copia-34_JC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-34_Mad-LTR__2|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-34_Pru-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-34_RC-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-34_TC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-35-LTR_VV|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-35_ATr-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-35_BG-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-35_CQ-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-35_ECa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATHATN6|ClassII|TIR|h,hAT,,
Copia-35_JC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-35_MLP-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-35_PX-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
